year,rank,title,artist,title_clean,artist_clean,primary_artist
2010,21,"""Empire State of Mind""",Jay-Z featuring Alicia Keys,empire state of mind,jay-z featuring alicia keys,jay-z
2010,25,"""Replay""",Iyaz,replay,iyaz,iyaz
2010,49,"""Hard""",Rihanna featuring Jeezy,hard,rihanna featuring jeezy,rihanna
2010,50,"""Young Forever""",Jay-Z featuring Mr Hudson,young forever,jay-z featuring mr hudson,jay-z
2010,53,"""Do You Remember""",Jay Sean featuring Sean Paul and Lil Jon,do you remember,jay sean featuring sean paul and lil jon,jay sean
2010,56,"""My Chick Bad""",Ludacris featuring Nicki Minaj,my chick bad,ludacris featuring nicki minaj,ludacris
2010,68,"""Deuces""",Chris Brown featuring Tyga and Kevin McCall,deuces,chris brown featuring tyga and kevin mccall,chris brown
2010,86,"""Sweet Dreams""",Beyoncé,sweet dreams,beyoncé,beyoncé
2011,2,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,party rock anthem,lmfao featuring lauren bennett and goonrock,lmfao
2011,3,"""Firework""",Katy Perry,firework,katy perry,katy perry
2011,5,"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer",give me everything,"pitbull featuring ne-yo, afrojack and nayer",pitbull
2011,8,"""Super Bass""",Nicki Minaj,super bass,nicki minaj,nicki minaj
2011,9,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,moves like jagger,maroon 5 featuring christina aguilera,maroon 5
2011,15,"""Just the Way You Are""",Bruno Mars,just the way you are,bruno mars,bruno mars
2011,16,"""Tonight (I'm Lovin' You)""",Enrique Iglesias featuring Ludacris and DJ Frank E,tonight (i'm lovin' you),enrique iglesias featuring ludacris and dj frank e,enrique iglesias
2011,17,"""Raise Your Glass""",Pink,raise your glass,pink,pink
2011,19,"""Fuckin' Perfect""",Pink,fuckin' perfect,pink,pink
2011,21,"""Look at Me Now""",Chris Brown featuring Lil Wayne and Busta Rhymes,look at me now,chris brown featuring lil wayne and busta rhymes,chris brown
2011,22,"""Down on Me""",Jeremih featuring 50 Cent,down on me,jeremih featuring 50 cent,jeremih
2011,26,"""The Lazy Song""",Bruno Mars,the lazy song,bruno mars,bruno mars
2011,30,"""We R Who We R""",Kesha,we r who we r,kesha,kesha
2011,35,"""If I Die Young""",The Band Perry,if i die young,the band perry,the band perry
2011,39,"""Hey Baby (Drop It to the Floor)""",Pitbull featuring T-Pain,hey baby (drop it to the floor),pitbull featuring t-pain,pitbull
2011,40,"""Only Girl (In the World)""",Rihanna,only girl (in the world),rihanna,rihanna
2011,47,"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne",i'm on one,"dj khaled featuring drake, rick ross and lil wayne",dj khaled
2011,51,"""I Need a Doctor""",Dr. Dre featuring Eminem and Skylar Grey,i need a doctor,dr. dre featuring eminem and skylar grey,dr. dre
2011,52,"""Just a Dream""",Nelly,just a dream,nelly,nelly
2011,59,"""All of the Lights""",Kanye West,all of the lights,kanye west,kanye west
2011,61,"""More""",Usher,more,usher,usher
2011,68,"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson,don't you wanna stay,jason aldean featuring kelly clarkson,jason aldean
2011,69,"""We Found Love""",Rihanna featuring Calvin Harris,we found love,rihanna featuring calvin harris,rihanna
2011,70,"""Pretty Girl Rock""",Keri Hilson,pretty girl rock,keri hilson,keri hilson
2011,83,"""In the Dark""",Dev,in the dark,dev,dev
2012,1,"""Somebody That I Used to Know""",Gotye featuring Kimbra,somebody that i used to know,gotye featuring kimbra,gotye
2012,3,"""We Are Young""",Fun featuring Janelle Monáe,we are young,fun featuring janelle monáe,fun
2012,8,"""We Found Love""",Rihanna featuring Calvin Harris,we found love,rihanna featuring calvin harris,rihanna
2012,20,"""The Motto""",Drake featuring Lil Wayne,the motto,drake featuring lil wayne,drake
2012,29,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,party rock anthem,lmfao featuring lauren bennett and goonrock,lmfao
2012,36,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,moves like jagger,maroon 5 featuring christina aguilera,maroon 5
2012,37,"""Blow Me (One Last Kiss)""",Pink,blow me (one last kiss),pink,pink
2012,48,"""International Love""",Pitbull featuring Chris Brown,international love,pitbull featuring chris brown,pitbull
2012,86,"""5 O'Clock""",T-Pain featuring Wiz Khalifa and Lily Allen,5 o'clock,t-pain featuring wiz khalifa and lily allen,t-pain
2012,92,"""Cashin' Out""",Cash Out,cashin' out,cash out,cash out
2013,1,"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz,thrift shop,macklemore & ryan lewis featuring wanz,macklemore
2013,2,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,blurred lines,robin thicke featuring t.i. and pharrell williams,robin thicke
2013,5,"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,can't hold us,macklemore & ryan lewis featuring ray dalton,macklemore
2013,7,"""Just Give Me a Reason""",Pink featuring Nate Ruess,just give me a reason,pink featuring nate ruess,pink
2013,13,"""Stay""",Rihanna featuring Mikky Ekko,stay,rihanna featuring mikky ekko,rihanna
2013,14,"""Get Lucky""",Daft Punk featuring Pharrell Williams,get lucky,daft punk featuring pharrell williams,da
2013,22,"""Holy Grail""",Jay-Z featuring Justin Timberlake,holy grail,jay-z featuring justin timberlake,jay-z
2013,34,"""Hold On, We're Going Home""",Drake featuring Majid Jordan,"hold on, we're going home",drake featuring majid jordan,drake
2013,36,"""Feel This Moment""",Pitbull featuring Christina Aguilera,feel this moment,pitbull featuring christina aguilera,pitbull
