year,rank,title,artist,title_clean,artist_clean,primary_artist
2010,1,"""Tik Tok""",Kesha,tik tok,kesha,kesha
2010,2,"""Need You Now""",Lady Antebellum,need you now,lady antebellum,lady antebellum
2010,3,"""Hey, Soul Sister""",Train,"hey, soul sister",train,train
2010,4,"""California Gurls""",Katy Perry featuring Snoop Dogg,california gurls,katy perry featuring snoop dogg,katy perry
2010,5,"""OMG""",Usher featuring will.i.am,omg,usher featuring will.i.am,usher
2010,6,"""Airplanes""",B.o.B featuring Hayley Williams,airplanes,b.o.b featuring hayley williams,b.o.b
2010,7,"""Love the Way You Lie""",Eminem featuring Rihanna,love the way you lie,eminem featuring rihanna,eminem
2010,8,"""Bad Romance""",Lady Gaga,bad romance,lady gaga,lady gaga
2010,9,"""Dynamite""",Taio Cruz,dynamite,taio cruz,taio cruz
2010,10,"""Break Your Heart""",Taio Cruz featuring Ludacris,break your heart,taio cruz featuring ludacris,taio cruz
2010,11,"""Nothin' on You""",B.o.B featuring Bruno Mars,nothin' on you,b.o.b featuring bruno mars,b.o.b
2010,12,"""I Like It""",Enrique Iglesias featuring Pitbull,i like it,enrique iglesias featuring pitbull,enrique iglesias
2010,13,"""BedRock""",Young Money featuring Lloyd,bedrock,young money featuring lloyd,young money
2010,14,"""In My Head""",Jason Derulo,in my head,jason derulo,jason derulo
2010,15,"""Rude Boy""",Rihanna,rude boy,rihanna,rihanna
2010,16,"""Telephone""",Lady Gaga featuring Beyoncé,telephone,lady gaga featuring beyoncé,lady gaga
2010,17,"""Teenage Dream""",Katy Perry,teenage dream,katy perry,katy perry
2010,18,"""Just the Way You Are""",Bruno Mars,just the way you are,bruno mars,bruno mars
2010,19,"""Cooler Than Me""",Mike Posner,cooler than me,mike posner,mike posner
2010,20,"""Imma Be""",The Black Eyed Peas,imma be,the black eyed peas,the black eyed peas
2010,21,"""Empire State of Mind""",Jay-Z featuring Alicia Keys,empire state of mind,jay-z featuring alicia keys,jay-z
